,Mobile,Title,Rating,Text,Sentiments
0,Mi 10,Heating issue,4.0,okk mobile heat problem high suggest guy plz buy device,Netural
1,Mi 10,Good phone (Pros & Cons simplified),1.0,hi guy general phone nice manage provide feel premium phone however flaw witness experience till date let provide pros con phone pros nice build quality comfortable hold excellent performance symmetric stereo speakers better experience watch videos play game nice camera good quality low light night photography still many flagship phone lack mark hz refresh rate display amoled screen brightness excellent issue view display even display directly face towards sun excellent charge watts wire wireless charge try charge phone dead achieve hour personal opinion think higher charge wattage like watts good phone battery sound like gimmick even though double wattage usually charge phone smaller battery mah minutes much difference super steady video rear camera presence eis ois bigger battery mah compare flagship phone miss feature like reverse wireless charge g support though india use least couple years nfc dual gps capable connect wifi provide hotspot simultaneously miui ads till date con limitation resolution screen fhd bigger size screen result lower ppi thus stand nowhere near qhd display phone come global miui google dialer message app thus miss feature like call record phone note etc reason many countries like uae illegal call record apps vpn apps trust miui lot bug thus result issue like use finger print scanner device heat time even normal usage overall performance acceptable hopefully issue resolve miui update go available soon outdated front camera support rear cameras hardware mp front camera without eis mp macro camera mp depth camera mp ultrawide camera seem like joke flagship phone price k battery bigger compare many devices loose even leave untouched overnight thus say good battery management miss mm jack also c type mm jack converter provide box seem good quality per initial impression though low light photography good daylight photography exceptional one might expect mp camera felt call quality mark maybe case price issue though two things go xiaomi well mobile brand increment gst rat higher import duties import phone think phone slightly overprice k compare biggest competitor one plus always choose mi many things miss one plus like wireless charge lp ddr ram x present instead come smaller battery mah sony imx camera sensor quite outdated price difference k even narrow use bank offer available case however comparison one plus pro feel mi slightly behind miui bug relate flaw fhd display outdated secondary camera hardware include front camera thus believe aforementioned issue would address xiaomi would consider phone justify price completely without doubt would best phone ever k however reality still phone definitely strong competitor flagship mobile segment,Negative
2,Mi 10,Worst,4.0,heat problem waste hard money go phone range,Negative
3,Mi 10,found inner box seal tampered,4.0,outer package intact inner box seal find break certainly tamper photos attach,Positive
4,Mi 10,So bad,1.0,ist bad,Very Negative
5,Mi 10,Would not recommend,1.0,keep hang seal box break performance expect,Netural
6,Mi 10,Bad,1.0,overheat battery drain quickly performance expect k phone,Negative
7,Mi 10,Voice Issue..,1.0,good quality product face problem mic phone try several call voice issue well phone overheat issue,Negative
8,Mi 10,Waste of money,1.0,mobile good many problems hang heat buy waste money,Negative
9,Mi 10,Cute,1.0,cute mobile super performance good camera,Positive
10,Mi 10,Heating issue,4.0,okk mobile heat problem high suggest guy plz buy device,Netural
11,Mi 10,Good phone (Pros & Cons simplified),1.0,hi guy general phone nice manage provide feel premium phone however flaw witness experience till date let provide pros con phone pros nice build quality comfortable hold excellent performance symmetric stereo speakers better experience watch videos play game nice camera good quality low light night photography still many flagship phone lack mark hz refresh rate display amoled screen brightness excellent issue view display even display directly face towards sun excellent charge watts wire wireless charge try charge phone dead achieve hour personal opinion think higher charge wattage like watts good phone battery sound like gimmick even though double wattage usually charge phone smaller battery mah minutes much difference super steady video rear camera presence eis ois bigger battery mah compare flagship phone miss feature like reverse wireless charge g support though india use least couple years nfc dual gps capable connect wifi provide hotspot simultaneously miui ads till date con limitation resolution screen fhd bigger size screen result lower ppi thus stand nowhere near qhd display phone come global miui google dialer message app thus miss feature like call record phone note etc reason many countries like uae illegal call record apps vpn apps trust miui lot bug thus result issue like use finger print scanner device heat time even normal usage overall performance acceptable hopefully issue resolve miui update go available soon outdated front camera support rear cameras hardware mp front camera without eis mp macro camera mp depth camera mp ultrawide camera seem like joke flagship phone price k battery bigger compare many devices loose even leave untouched overnight thus say good battery management miss mm jack also c type mm jack converter provide box seem good quality per initial impression though low light photography good daylight photography exceptional one might expect mp camera felt call quality mark maybe case price issue though two things go xiaomi well mobile brand increment gst rat higher import duties import phone think phone slightly overprice k compare biggest competitor one plus always choose mi many things miss one plus like wireless charge lp ddr ram x present instead come smaller battery mah sony imx camera sensor quite outdated price difference k even narrow use bank offer available case however comparison one plus pro feel mi slightly behind miui bug relate flaw fhd display outdated secondary camera hardware include front camera thus believe aforementioned issue would address xiaomi would consider phone justify price completely without doubt would best phone ever k however reality still phone definitely strong competitor flagship mobile segment,Negative
12,Mi 10,Worst,4.0,heat problem waste hard money go phone range,Negative
13,Mi 10,found inner box seal tampered,4.0,outer package intact inner box seal find break certainly tamper photos attach,Positive
14,Mi 10,So bad,1.0,ist bad,Very Negative
15,Mi 10,Would not recommend,1.0,keep hang seal box break performance expect,Netural
16,Mi 10,Bad,1.0,overheat battery drain quickly performance expect k phone,Negative
17,Mi 10,Voice Issue..,1.0,good quality product face problem mic phone try several call voice issue well phone overheat issue,Negative
18,Mi 10,Waste of money,1.0,mobile good many problems hang heat buy waste money,Negative
19,Mi 10,Cute,1.0,cute mobile super performance good camera,Positive
20,Mi 10,Heating issue,4.0,okk mobile heat problem high suggest guy plz buy device,Netural
